date,avg_temp,max_temp,min_temp,precip,location
2021-12-12,4.4,9.8,1127,4.8,상주
2021-12-12,8.0,12.0,1044,8.8,신안
2021-12-12,10.6,13.6,1435,10.5,제주
2021-12-12,6.8,12.8,1440,5.8,창녕(밀양)
2021-12-12,-1.9,2.0,1129,-0.9,평창
2021-12-12,-0.3,5.3,1249,1.5,포천(동두천)
2021-12-12,6.2,10.4,1249,7.4,해남
2021-12-13,-1.9,4.0,1356,0.4,논산(부여)
2021-12-13,1.9,4.0,124,4.0,무안(목포)
2021-12-13,-1.5,3.4,1422,0.7,상주
2021-12-13,4.9,5.4,1133,6.6,신안
2021-12-13,6.6,7.4,1303,7.8,제주
2021-12-13,0.8,7.6,1448,0.8,창녕(밀양)
2021-12-13,-6.4,0.2,1447,-3.7,평창
2021-12-13,-3.0,2.4,1504,-1.7,포천(동두천)
2021-12-13,1.3,4.9,1245,4.8,해남
2021-12-14,2.9,8.3,1430,3.2,논산(부여)
2021-12-14,4.7,9.7,1439,4.9,무안(목포)
2021-12-14,3.1,8.5,1451,2.9,상주
2021-12-14,7.8,11.3,1457,8.1,신안
2021-12-14,8.5,12.7,1513,8.6,제주
2021-12-14,0.9,9.3,1426,0.3,창녕(밀양)
2021-12-14,-1.7,0.8,1208,-2.2,평창
2021-12-14,2.8,7.6,1338,2.0,포천(동두천)
2021-12-14,0.3,9.4,1450,3.6,해남
2021-12-15,6.4,12.4,1541,5.9,논산(부여)
2021-12-15,9.1,14.7,1449,8.2,무안(목포)
2021-12-15,7.5,12.8,1445,5.4,상주
2021-12-15,11.4,14.6,1207,9.3,신안
2021-12-15,11.3,16.2,1127,8.8,제주
2021-12-15,3.8,14.2,1527,2.4,창녕(밀양)
2021-12-15,2.0,3.7,1407,0.0,평창
2021-12-15,5.9,10.9,1505,4.7,포천(동두천)
2021-12-15,4.7,14.5,1421,5.7,해남
2021-12-16,5.8,12.0,1518,5.3,논산(부여)
2021-12-16,8.1,10.8,1301,7.5,무안(목포)
2021-12-16,6.4,12.1,1348,4.9,상주
2021-12-16,10.4,13.2,1311,9.7,신안
2021-12-16,10.9,12.1,2006,10.3,제주
2021-12-16,5.4,9.6,1548,4.5,창녕(밀양)
2021-12-16,1.6,5.4,1350,-0.3,평창
2021-12-16,3.7,10.3,1416,4.0,포천(동두천)
2021-12-16,6.7,10.3,1416,6.6,해남
2021-12-17,-1.4,7.4,16,0.8,논산(부여)
2021-12-17,1.3,8.9,53,2.7,무안(목포)
2021-12-17,-1.8,7.0,130,1.2,상주
2021-12-17,2.8,9.9,1,5.5,신안
2021-12-17,5.9,11.8,224,6.8,제주
2021-12-17,1.6,6.3,519,1.7,창녕(밀양)
2021-12-17,-8.6,0.8,20,-5.2,평창
2021-12-17,-6.1,2.7,1,-1.0,포천(동두천)
2021-12-17,0.5,7.5,205,2.8,해남
2021-12-18,-4.3,1.2,1427,-1.4,논산(부여)
2021-12-18,-1.1,5.5,2325,3.0,무안(목포)
2021-12-18,-4.1,1.1,1501,-1.3,상주
2021-12-18,3.4,6.9,2341,4.3,신안
2021-12-18,4.0,7.8,2313,5.2,제주
2021-12-18,-2.8,3.1,1531,-3.1,창녕(밀양)
2021-12-18,-9.6,-4.6,1245,-6.4,평창
2021-12-18,-7.1,-1.7,1337,-4.2,포천(동두천)
2021-12-18,-2.4,2.0,1423,1.3,해남
2021-12-19,0.4,6.0,1600,2.6,논산(부여)
2021-12-19,5.1,7.2,1602,4.4,무안(목포)
2021-12-19,1.2,5.0,1346,1.2,상주
2021-12-19,6.8,8.2,1426,6.2,신안
2021-12-19,8.0,10.5,1409,6.2,제주
2021-12-19,0.2,8.0,1419,-0.5,창녕(밀양)
2021-12-19,-5.1,-2.5,2336,-1.9,평창
2021-12-19,-2.5,3.4,1533,-1.2,포천(동두천)
2021-12-19,2.4,7.0,1540,2.8,해남
2021-12-20,4.4,11.7,1528,2.8,논산(부여)
2021-12-20,8.2,12.8,1333,5.9,무안(목포)
2021-12-20,4.6,11.1,1347,2.4,상주
2021-12-20,11.3,14.0,1314,7.7,신안
2021-12-20,11.3,15.0,1442,7.2,제주
2021-12-20,2.3,12.6,1458,0.7,창녕(밀양)
2021-12-20,1.6,3.2,1414,-0.9,평창
2021-12-20,3.0,10.8,1411,0.2,포천(동두천)
2021-12-20,2.7,12.6,1317,2.8,해남
2021-12-21,4.5,13.7,1404,3.6,논산(부여)
2021-12-21,8.4,12.6,1205,6.9,무안(목포)
2021-12-21,8.2,13.9,1322,5.2,상주
2021-12-21,10.4,13.2,1105,8.8,신안
